,売上高10%増フラグ,売上高成長率t+1,売上高t+1,売上高t,売上高t-1,売上高t-2,売上高成長率t,売上高成長率t-1,資産t,負債t,純資産t,営業利益t,当期純利益t,営業CFt,投資CFt,財務CFt,ROSt,ROAt,ROEt,ATt,LEVt,営業CF比率t,投資CF比率t,財務CF比率t,FCFt
オルガノ,1,1.181647021,132426,112069,100638,96515,1.113585326,1.042718748,130506,54501,76004,10850,9210,10787,-1520,-2586,0.096815355,0.070571468,0.121177833,0.858726802,0.417612983,0.096253201,-0.013563073,-0.02307507,9267
トーヨーカネツ,0,0.800158845,47351,59177,43617,46518,1.356741637,0.937637044,64290,27813,36477,2808,2334,-1097,-830,3208,0.047450868,0.036304246,0.063985525,0.920469746,0.432617825,-0.018537608,-0.014025719,0.054210251,-1927
栗田工業,1,1.195696149,344608,288207,267749,264807,1.076407382,1.011109978,469981,192119,277862,35734,18471,28737,-39929,-7927,0.123987273,0.039301589,0.066475445,0.613231173,0.408780355,0.099709584,-0.138542783,-0.027504537,-11192
椿本チエイン,1,1.165347255,251574,215879,193399,226423,1.116236382,0.854149093,332620,122863,209757,17842,14543,21000,-9075,-7780,0.08264815,0.043722566,0.069332609,0.649025915,0.369379472,0.097276715,-0.042037438,-0.036038707,11925
レイズネクスト,0,1.078786432,140061,129832,145914,140578,0.889784394,1.037957575,100781,21438,79342,10982,7748,11157,-2225,-2849,0.084586235,0.076879571,0.097653198,1.2882587,0.212718667,0.08593413,-0.017137532,-0.021943743,8932
アネスト岩田,1,1.145924369,48515,42337,35588,39091,1.189642576,0.91038858,55818,15608,40210,4780,3541,3889,-1078,-2103,0.112903607,0.063438317,0.088062671,0.758482927,0.279623061,0.091858186,-0.025462362,-0.049672863,2811
ダイフク,1,1.17501386,601922,512268,473902,443694,1.080957666,1.068082958,483322,191263,292059,50252,35877,56691,-9828,-27550,0.09809709,0.074230016,0.122841618,1.05988968,0.395725831,0.110666682,-0.01918527,-0.053780443,46863
加藤製作所,0,0.905285685,57530,63549,58519,77894,1.085954989,0.751264539,102645,58400,44245,-7222,-9575,9547,496,-6637,-0.113644589,-0.093282673,-0.216408634,0.619114423,0.56895124,0.150230531,0.007805001,-0.104439094,10043
フジテック,1,1.10999476,207589,187018,169573,181232,1.102876047,0.935668094,220609,80126,140482,13777,10835,9846,-3994,-6520,0.073666706,0.049114043,0.077127319,0.847735133,0.363203677,0.052647339,-0.021356233,-0.034862954,5852
ＣＫＤ,1,1.121365129,159457,142199,106723,100717,1.332411945,1.059632435,172514,62942,109571,17879,12567,12352,-8544,-6264,0.125732248,0.072846262,0.114692756,0.824275131,0.364851548,0.086864183,-0.060084811,-0.044050943,3808
平和,1,1.170552329,142290,121558,107744,144573,1.128211316,0.745256722,417066,199880,217186,10235,2193,20436,2044,-17364,0.08419849,0.005258161,0.010097336,0.291459865,0.479252684,0.168117277,0.016815018,-0.142845391,22480
理想科学工業,0,1.077070679,74655,69313,68434,78066,1.012844493,0.876617221,81829,18857,62971,4164,3578,5390,-1375,-3593,0.060075311,0.04372533,0.056819806,0.84704689,0.230443975,0.07776319,-0.019837549,-0.051837318,4015
ＳＡＮＫＹＯ,1,1.853659686,157296,84857,58129,78416,1.459804917,0.741290043,309213,39093,270120,21357,18466,22707,8877,-16890,0.251682242,0.059719352,0.068362209,0.274428954,0.126427414,0.26759136,0.104611287,-0.199040739,31584
日本金銭機械,1,1.260379242,25258,20040,17010,26109,1.178130511,0.651499483,33144,9974,23169,568,605,1333,-255,397,0.028343313,0.018253681,0.026112478,0.604634323,0.300929278,0.066516966,-0.012724551,0.019810379,1078
マースグループホールディングス,1,1.347149573,20346,15103,14760,22562,1.023238482,0.654197323,60135,5893,54241,1578,1855,3567,423,-1295,0.104482553,0.03084726,0.034199222,0.251151576,0.097996175,0.236178243,0.028007681,-0.085744554,3990
フクシマガリレイ,0,1.092877291,104996,96073,82451,86801,1.165213278,0.94988537,103700,31789,71910,9806,8172,6573,-1504,-1063,0.102068219,0.078804243,0.113642053,0.926451302,0.306547734,0.068416725,-0.015654763,-0.011064503,5069
ダイコク電機,1,1.304797048,31824,24390,23345,32922,1.044763333,0.709100298,41489,10348,31141,1191,1228,3220,-564,-1814,0.048831488,0.029598207,0.039433544,0.587866663,0.249415508,0.13202132,-0.023124231,-0.074374744,2656
アマノ,1,1.121431406,132810,118429,113598,133084,1.042527157,0.853581197,159342,43071,116271,12893,9733,19200,-5891,-10870,0.108866916,0.061082452,0.083709609,0.743237816,0.270305381,0.162122453,-0.049742884,-0.091784951,13309
ジャノメ,0,0.898755709,38571,42916,43839,35521,0.978945688,1.234171335,54572,21144,33428,3659,2549,219,150,-3368,0.085259577,0.046708935,0.07625344,0.786410614,0.38745144,0.005102992,0.0034952,-0.078478889,369
ブラザー工業,1,1.146751193,815269,710938,631812,637259,1.125236621,0.991452455,811149,249937,561211,85501,61030,72254,-40781,-65191,0.120265058,0.075238951,0.108746978,0.876457963,0.308127114,0.101631929,-0.057362245,-0.091697166,31473
マックス,1,1.140052462,84316,73958,64029,69671,1.155070359,0.919019391,109043,25907,83136,7498,6090,5629,-2442,-3274,0.101381865,0.055849527,0.073253464,0.678246196,0.237585173,0.076110766,-0.03301874,-0.044268369,3187
モリタホールディングス,0,0.972991077,81344,83602,84667,86922,0.987421309,0.974057201,125167,43261,81906,8115,5350,10544,-685,-3630,0.097067056,0.042742895,0.06531878,0.667923654,0.345626243,0.126121385,-0.008193584,-0.043420014,9859
グローリー,1,1.129302354,255857,226562,217423,224170,1.042033272,0.969902306,363269,154661,208607,10195,6410,10315,-25739,-942,0.04499872,0.017645326,0.030727636,0.623675568,0.425747862,0.045528376,-0.113606871,-0.004157802,-15424
新晃工業,0,1.067700886,44805,41964,39177,44263,1.071138678,0.885095904,72046,18064,53982,5712,4097,3638,-1217,-2299,0.136116671,0.056866446,0.075895669,0.582461205,0.250728701,0.086693356,-0.029001049,-0.054785054,2421
セガサミーホールディングス,1,1.214009079,389635,320949,277748,366594,1.155540274,0.757644697,435492,142855,292637,32042,37027,39607,-8794,-35970,0.099835176,0.085023376,0.126528771,0.736980243,0.328031284,0.123405899,-0.027399992,-0.112073881,30813
ＴＰＲ,0,1.092223778,178619,163537,152002,178530,1.075887159,0.851408727,255403,95651,159752,10701,8087,19859,-13439,-10350,0.065434733,0.031663684,0.050622214,0.640309628,0.374510088,0.121434293,-0.082177122,-0.06328843,6420
日本精工,0,1.084298273,938098,865166,747559,831034,1.157321362,0.899552846,1234551,597091,637460,29430,16587,22733,-19973,-48224,0.034016593,0.013435654,0.026020456,0.700794054,0.483650331,0.026275882,-0.023085743,-0.055739592,2760
ＮＴＮ,1,1.205501984,773960,642023,562847,651956,1.140670555,0.863320531,855483,639058,216425,6880,7341,8956,2512,-41300,0.010716127,0.008581117,0.033919372,0.750480138,0.74701426,0.013949656,0.003912632,-0.064327913,11468
ジェイテクト,1,1.174821797,1678146,1428426,1246286,1418896,1.14614623,0.878349083,1386463,726048,660415,36401,20682,67039,-25265,-43531,0.025483294,0.014917095,0.031316672,1.030266224,0.523669222,0.046932078,-0.017687301,-0.030474802,41774
ミネベアミツミ,1,1.149503621,1292203,1124140,988424,978445,1.137305448,1.010198836,1104192,562757,541435,92136,68935,78417,-63605,-25547,0.081961322,0.062430266,0.127319069,1.018065699,0.509655024,0.069757326,-0.056581031,-0.022725817,14812
日本トムソン,0,1.095947595,68260,62284,44342,47457,1.404627667,0.934361633,107078,43104,63974,5898,4134,10265,-2100,-6442,0.094695267,0.03860737,0.064620002,0.581669437,0.402547676,0.164809582,-0.033716524,-0.103429452,8165
イーグル工業,1,1.11742236,157380,140842,130513,142106,1.079141541,0.918420053,180955,77860,103094,7560,5713,12238,-6845,-11554,0.05367717,0.031571385,0.055415446,0.778326103,0.43027272,0.086891694,-0.048600559,-0.082035188,5393
日本ピラー工業,1,1.197492009,48702,40670,30200,29213,1.346688742,1.033786328,64991,12333,52658,11392,8285,11950,-1551,-1711,0.280108188,0.127479189,0.157336017,0.625778954,0.189764737,0.293828375,-0.038136218,-0.042070322,10399
日立製作所,0,1.060065456,10881150,10264602,8729196,8767263,1.175893175,0.995658052,13887502,8532225,5355277,738236,583470,729943,-1048866,202739,0.071920567,0.042014035,0.108952347,0.73912515,0.61438155,0.071112645,-0.102182822,0.019751277,-318923
三菱電機,1,1.117704821,5003694,4476758,4191433,4462509,1.068073377,0.9392548,5107973,2010576,3097397,252051,203482,282371,-114867,-241319,0.056302128,0.039836154,0.065694517,0.876425541,0.393615236,0.063074886,-0.025658523,-0.053904857,167504
富士電機,1,1.109006994,1009447,910226,875927,900604,1.039157373,0.9725995,1117112,593382,523729,74835,58660,76809,-22350,-42894,0.082215845,0.052510402,0.112004491,0.814802813,0.53117503,0.084384537,-0.024554341,-0.04712456,54459
シンフォニア　テクノロジー,1,1.150372681,108808,94585,87312,89757,1.083298974,0.972759785,116801,62710,54090,7514,5593,2951,-1847,-4761,0.079441772,0.047884864,0.103401738,0.809796149,0.536896088,0.03119945,-0.019527409,-0.050335677,1104
明電舎,0,1.068740541,272578,255046,231254,255748,1.102882545,0.904226035,290899,185477,105421,9468,6733,11389,-7503,-4266,0.037122715,0.02314549,0.06386773,0.876751037,0.637599304,0.04465469,-0.029418223,-0.016726394,3886
山洋電気,1,1.194614479,120803,101123,77506,70706,1.304711893,1.096172885,128667,48012,80655,10971,9015,8234,-4826,-622,0.108491639,0.070064585,0.111772364,0.785928016,0.373149292,0.081425591,-0.047724059,-0.006150925,3408
デンヨー,1,1.165730133,64311,55168,55006,62887,1.002945133,0.874679982,80774,17013,63760,3653,2753,2695,-819,-1643,0.066215922,0.034082749,0.043177541,0.682992052,0.210624706,0.048850783,-0.014845563,-0.029781758,1876
ＰＨＣホールディングス,0,1.046943475,356434,340452,306071,272637,1.112330146,1.122631925,591320,455255,136065,8174,-8460,51053,-12521,-7015,0.024009258,-0.014306974,-0.062176166,0.575749171,0.769896165,0.149956528,-0.036777578,-0.02060496,38532
ＭＳ－Ｊａｐａｎ,1,1.142362959,4293,3758,3369,4098,1.11546453,0.822108346,10412,815,9596,1576,1032,1173,245,-374,0.419372006,0.099116404,0.10754481,0.360929697,0.078275067,0.312134114,0.065194252,-0.099521022,1418
ジャパンエレベーターサービスホ,1,1.173305099,34907,29751,24521,21339,1.213286571,1.149116641,25338,13582,11756,4113,2726,3005,-3279,765,0.138247454,0.107585445,0.231881592,1.174165285,0.536032836,0.101005008,-0.110214783,0.025713421,-274
ウェルビー,0,1.077723873,10663,9894,8176,6878,1.210127202,1.18871765,11244,5245,5998,2527,1828,-1225,-2278,3724,0.255407318,0.162575596,0.304768256,0.879935966,0.466471007,-0.123812412,-0.23024055,0.376389731,-3503
ミダックホールディングス,1,1.217834195,7771,6381,5701,5213,1.11927732,1.093612124,20040,10503,9536,2264,1284,1807,-3908,3700,0.354803322,0.064071856,0.134647651,0.318413174,0.524101796,0.283184454,-0.612443191,0.579846419,-2101
三桜工業,1,1.187614283,137692,115940,113657,142707,1.020086752,0.796436054,96437,54754,41682,2183,1009,3340,-5652,813,0.018828705,0.010462789,0.024207092,1.202235656,0.567769632,0.028808004,-0.048749353,0.007012248,-2312
マキタ,0,1.034415497,764702,739260,608331,492617,1.215226579,1.234896481,1007497,254967,752530,91728,64770,-103660,-27891,52626,0.124080838,0.064288033,0.086069658,0.733759009,0.253069736,-0.140221302,-0.037728269,0.071187404,-131551
東芝テック,1,1.146973953,510767,445317,405694,483799,1.097667207,0.838558988,310256,192594,117662,11566,5381,10037,-14184,-5496,0.025972509,0.017343742,0.045732692,1.435321154,0.620758341,0.022539,-0.031851468,-0.01234177,-4147
芝浦メカトロニクス,1,1.238045949,61001,49272,44794,47141,1.099968746,0.95021319,68854,44240,24614,5050,2983,8297,-507,-1205,0.102492288,0.043323554,0.121191192,0.715601127,0.642518953,0.168391784,-0.01028982,-0.024456081,7790
ニデック,1,1.169249505,2242824,1918174,1618064,1534800,1.18547474,1.054250717,2678483,1361785,1316698,170374,135759,94994,-112597,-64393,0.088820931,0.050685033,0.103105648,0.716141936,0.508416518,0.04952314,-0.058700097,-0.033569947,-17603
ユー・エム・シー・エレクトロニ,1,1.201828317,161706,134550,136179,141010,0.988037803,0.965740018,73368,56281,17086,1498,1570,-3510,-2088,6095,0.011133408,0.021398975,0.091888096,1.83390579,0.76710555,-0.026086957,-0.015518395,0.045299145,-5598
トレックス・セミコンダクター,0,1.035381026,31956,30864,23712,21500,1.301619433,1.102883721,34770,12041,22729,3897,3157,1753,-1608,-2056,0.126263608,0.090796664,0.138897444,0.887661777,0.346304285,0.056797564,-0.052099533,-0.066614826,145
東光高岳,0,1.063261399,97752,91936,91939,93341,0.99996737,0.984979805,100242,44683,55558,4625,3279,4140,-1460,-5781,0.050306735,0.03271084,0.059019403,0.91714052,0.445751282,0.045031326,-0.015880613,-0.0628807,2680
宮越ホールディングス,0,0.937455579,1319,1407,1619,1489,0.869054972,1.087306917,26202,1297,24904,499,658,539,-874,0,0.354655295,0.025112587,0.026421458,0.053698191,0.049500038,0.383084577,-0.621179815,0,-335
ダイヘン,1,1.153594242,185288,160618,145144,145044,1.106611365,1.000689446,194801,89165,105636,14191,10985,12950,-3299,-5308,0.088352489,0.056390881,0.10398917,0.824523488,0.457723523,0.080626082,-0.020539417,-0.033047355,9651
ＪＶＣケンウッド,1,1.194343609,336910,282088,273609,291304,1.030989478,0.939255898,280807,196846,83961,9054,5873,7059,-9804,-11273,0.032096367,0.020914721,0.069949143,1.004561852,0.701001043,0.025024106,-0.034755112,-0.039962707,-2745
ミマキエンジニアリング,1,1.186452925,70607,59511,48722,55557,1.221440007,0.876973199,60857,42140,18716,2569,2347,-5129,-2711,4275,0.04316849,0.038565818,0.125400727,0.977882577,0.69244294,-0.086185747,-0.045554603,0.071835459,-7840
大崎電気工業,1,1.171545206,89253,76184,76255,90069,0.999068914,0.846628696,91222,33610,57611,1277,-658,4422,-1219,-2934,0.01676205,-0.007213172,-0.01142143,0.835149416,0.368441823,0.058043684,-0.016000735,-0.038512024,3203
オムロン,1,1.148316943,876082,762927,655529,677980,1.163834094,0.966885454,930629,262658,667971,89316,61400,67428,-150163,-29603,0.117070178,0.065976882,0.091920158,0.819797148,0.282237068,0.088380671,-0.19682486,-0.038801878,-82735
日東工業,1,1.105194561,146698,132735,137902,139421,0.962531363,0.989104941,124316,25095,99221,8637,6607,8471,-4966,-10022,0.065069499,0.053146819,0.066588726,1.067722578,0.201864603,0.063818887,-0.03741289,-0.075503823,3505
ＩＤＥＣ,1,1.184774471,83869,70789,53983,58355,1.31132023,0.925079256,94960,45951,49008,9672,7896,9652,-1386,-8578,0.136631398,0.0831508,0.161116552,0.745461247,0.483898484,0.136348868,-0.019579313,-0.121177019,8266
ジーエス・ユアサ　コーポレーシ,1,1.198091791,517735,432133,386511,395553,1.11803545,0.977140864,480763,230824,249938,22664,8468,12879,-30204,5203,0.052446816,0.017613668,0.033880402,0.898848289,0.480120142,0.029803324,-0.069895148,0.012040275,-17325
ダイヤモンドエレクトリックホー,1,1.194503809,91106,76271,70639,71012,1.079729328,0.994747367,68727,58551,10176,492,1287,-4388,-3866,3232,0.006450682,0.018726265,0.126474057,1.109767631,0.85193592,-0.057531696,-0.050687679,0.042375215,-8254
ＮＥＣ,0,1.099175043,3313018,3014095,2994023,3095234,1.006704023,0.967301018,3761733,1975091,1786642,132525,141277,147517,-63377,-189616,0.043968422,0.03755636,0.079074039,0.80125171,0.525048163,0.048942386,-0.021026875,-0.062909762,84140
富士通,0,1.035387147,3713767,3586839,3589702,3857797,0.999202441,0.930505675,3331809,1616060,1715749,219201,182691,248347,-59267,-193685,0.061112584,0.054832375,0.106478861,1.076544004,0.485039809,0.069238402,-0.016523463,-0.0539988,189080
ＯＫＩ,0,1.048377568,369096,352064,392868,457223,0.896138143,0.859248113,369170,261535,107635,5864,2065,5921,-17597,1680,0.016656063,0.005593629,0.019185209,0.953663624,0.708440556,0.016817965,-0.04998239,0.00477186,-11676
電気興業,0,0.936675695,31817,33968,41478,45016,0.818940161,0.921405722,56336,9727,46609,53,705,4166,2680,-4139,0.001560292,0.012514201,0.015125834,0.602953706,0.172660466,0.122644842,0.078897786,-0.121849976,6846
サンケン電気,1,1.283086645,225387,175660,156795,160217,1.120316337,0.978641468,244732,107327,137404,13720,3204,13675,-12598,-6592,0.078105431,0.013091872,0.023318098,0.717764739,0.438549107,0.077849254,-0.071718092,-0.037527041,1077
アイホン,0,1.015771961,52811,51991,46141,48494,1.126785289,0.951478533,69453,13523,55929,5538,4226,1872,3729,-1332,0.106518436,0.060846904,0.075560085,0.748578175,0.194707212,0.036006232,0.071723952,-0.025619819,5601
セイコーエプソン,1,1.178416602,1330331,1128914,995940,1043600,1.133516075,0.954331161,1266420,600680,665740,94479,92288,110801,-44083,-51771,0.083690166,0.072873138,0.138624688,0.891421487,0.474313419,0.098148309,-0.039049033,-0.045859118,66718
ワコム,0,1.036216897,112729,108789,108531,88579,1.002377201,1.225245261,73332,29829,43503,13023,10954,-235,-1372,-10516,0.119708794,0.149375443,0.251798727,1.483513337,0.406766487,-0.002160145,-0.012611569,-0.096664185,-1607
ＥＩＺＯ,0,0.931558147,80849,86789,76565,76480,1.133533599,1.001111402,155459,36876,118582,11299,7794,8429,-2394,-2899,0.13018931,0.050135405,0.06572667,0.558275815,0.237207238,0.097120603,-0.027584141,-0.033402851,6035
ジャパンディスプレイ,0,0.914849331,270746,295946,341694,504022,0.866114126,0.677934693,258275,185507,72768,-8576,-8096,-21673,95,14769,-0.02897826,-0.031346433,-0.111257696,1.145856161,0.718253799,-0.073232955,0.000321005,0.049904374,-21578
日本信号,0,1.004809106,85456,85047,92755,111675,0.916899359,0.830579807,134086,47345,86740,5390,4503,2099,-2344,-6750,0.063376721,0.033582924,0.051913765,0.634272034,0.353094283,0.024680471,-0.027561231,-0.079367879,-245
京三製作所,0,0.991922212,72327,72916,62218,72810,1.17194381,0.854525477,112879,67923,44956,2969,11859,14956,-15,-13487,0.040718087,0.1050594,0.263791263,0.645966034,0.601732829,0.205112732,-0.000205716,-0.184966263,14941
能美防災,0,0.93467537,105537,112913,107897,117294,1.046488781,0.919885075,148599,36708,111891,12633,9351,3559,-4874,-2293,0.1118826,0.062927745,0.083572405,0.759850335,0.247027234,0.031519843,-0.043165977,-0.020307671,-1315
ホーチキ,0,1.051765517,85457,81251,76567,80551,1.06117518,0.950540651,73912,31057,42854,5479,4124,7792,-669,-1221,0.067433016,0.055796082,0.096233724,1.099293755,0.420188873,0.095900358,-0.008233745,-0.015027507,7123
エレコム,0,0.96617858,103727,107358,107220,100861,1.001287073,1.063047164,110621,29220,81401,13945,10398,9665,-5664,-14127,0.129892509,0.093996619,0.127737988,0.970502888,0.264145144,0.090025895,-0.052758062,-0.131587772,4001
パナソニック　ホールディングス,1,1.134007174,8378942,7388791,6698794,7490601,1.103003167,0.894293262,8023583,4676412,3347171,357526,255334,252630,-796149,58910,0.048387618,0.03182294,0.076283524,0.920884223,0.58283338,0.034190979,-0.107750916,0.007972888,-543519
シャープ,0,1.021048747,2548117,2495588,2425910,2262284,1.028722418,1.072327789,1956288,1487018,469269,84716,73991,75157,-31448,-124291,0.033946308,0.037822141,0.157672891,1.275675156,0.760122231,0.030115949,-0.012601439,-0.049804295,43709
アンリツ,0,1.052492243,110919,105387,105939,107023,0.994789454,0.989871336,153261,38819,114442,16499,12796,16031,-8706,-13395,0.156556311,0.08349156,0.111812097,0.687630904,0.253286877,0.152115536,-0.08260981,-0.127102963,7325
富士通ゼネラル,1,1.305816393,371019,284128,265452,262117,1.070355469,1.012723326,268633,137178,131454,8444,3722,-14945,-7871,-971,0.029719,0.013855334,0.028314087,1.057680925,0.510652079,-0.052599533,-0.027702303,-0.003417474,-22816
ソニーグループ,1,1.163112622,11539837,9921513,8998661,8259885,1.102554369,1.089441439,30480967,23283718,7197249,1202339,882178,1233643,-728780,-336578,0.121185045,0.02894193,0.122571555,0.32549863,0.763877275,0.124340209,-0.073454523,-0.03392406,504863
ＴＤＫ,1,1.146516736,2180817,1902124,1479008,1363037,1.286080941,1.085082797,3041653,1737898,1303755,166775,131298,178987,-281546,113743,0.087678301,0.04316666,0.100707572,0.625358645,0.571366293,0.094098492,-0.148016638,0.059797889,-102559
帝国通信工業,0,1.091601032,16493,15109,12022,12499,1.256779238,0.961836947,29087,4739,24348,1698,1582,1788,-757,-648,0.112383348,0.054388558,0.064974536,0.519441675,0.162925018,0.118340062,-0.050102588,-0.042888345,1031
タムラ製作所,1,1.222636084,107993,88328,73906,79655,1.195139772,0.927826251,104055,53833,50221,1564,-84,-4949,-4622,4536,0.017706729,-0.000807265,-0.001672607,0.848858777,0.517351401,-0.056029798,-0.052327688,0.051354044,-9571
アルプスアルパイン,1,1.162246187,933114,802854,718013,810570,1.118160813,0.885812453,743520,318211,425308,35208,22960,34304,-45507,-13539,0.043853552,0.030880138,0.053984407,1.079801485,0.427979073,0.042727569,-0.056681539,-0.016863589,-11203
日本電波工業,1,1.156360113,52508,45408,39195,39468,1.158515117,0.993083004,61220,41182,20037,5180,5455,4560,-2326,-8910,0.114076815,0.089104868,0.272246344,0.741718393,0.672688664,0.100422833,-0.051224454,-0.19622093,2234
メイコー,1,1.105774252,167276,151275,119257,115479,1.268478999,1.032715905,168328,109642,58686,13255,11451,13975,-11785,-4730,0.087621881,0.068027898,0.195123198,0.89869184,0.651359251,0.092381425,-0.077904479,-0.031267559,2190
日本トリム,1,1.102912263,17951,16276,14911,16116,1.091543156,0.925229586,26590,5788,20802,1998,1940,1145,432,568,0.122757434,0.072959759,0.093260263,0.612109816,0.217675818,0.07034898,0.026542148,0.034898009,1577
フォスター電機,1,1.331833249,121338,91106,85220,107298,1.069068294,0.794236612,86148,34516,51632,-7757,-7017,-12767,-3071,6771,-0.085142581,-0.081452849,-0.13590409,1.05755212,0.40065933,-0.140133471,-0.033707988,0.074320023,-15838
ＳＭＫ,1,1.136786684,54842,48243,48560,54161,0.993471993,0.896586104,54794,24150,30643,703,2992,2433,-1631,-971,0.014572062,0.054604519,0.09764057,0.880443114,0.440741687,0.050432187,-0.033808014,-0.020127272,802
ヨコオ,1,1.166257779,77962,66848,59976,60595,1.114579165,0.989784636,66870,22541,44328,4684,4663,3677,-5967,171,0.070069411,0.069732316,0.105193106,0.999671003,0.337086885,0.055005385,-0.089262207,0.002558042,-2290
ホシデン,1,1.3354206,277244,207608,233934,211912,0.887463986,1.103920495,171525,51991,119533,11725,11901,-1230,-3059,-3748,0.056476629,0.069383472,0.099562464,1.210365836,0.303110334,-0.005924627,-0.0147345,-0.018053254,-4289
ヒロセ電機,1,1.119465269,183224,163671,133538,121765,1.225651126,1.09668624,394783,52714,342069,40765,31437,44323,-10875,-25249,0.249066725,0.079631088,0.091902511,0.414584721,0.13352652,0.270805457,-0.066444269,-0.154266791,33448
日本航空電子工業,0,1.047916509,235864,225079,209711,208106,1.073281802,1.007712416,225343,67455,157887,18049,14325,24432,-20285,-9985,0.080189622,0.063569758,0.090729446,0.998828453,0.299343667,0.108548554,-0.090123912,-0.044362202,4147
ＴＯＡ,1,1.104223767,45123,40864,40575,45068,1.007122612,0.900306204,60688,13749,46939,2159,1466,1632,-752,-458,0.05283379,0.024156341,0.031232025,0.673345637,0.226552201,0.039937353,-0.018402506,-0.011207909,880
マクセル,0,0.960648265,132776,138215,139055,145041,0.993959225,0.958728911,177535,92919,84616,9332,-3659,18442,-3908,-6211,0.067517997,-0.020610021,-0.043242413,0.778522545,0.523384121,0.133429801,-0.028274789,-0.044937235,14534
アイコム,1,1.208508682,34173,28277,27941,30533,1.012025339,0.915108244,63369,5632,57736,1058,1093,2084,-3435,-717,0.037415567,0.017248181,0.018930996,0.446227651,0.088876264,0.073699473,-0.121476819,-0.025356297,-1351
リオン,0,1.054473161,23868,22635,20466,21465,1.105980651,0.953459119,33157,7868,25289,3104,2229,2841,-951,-541,0.137132759,0.067225624,0.088141089,0.682661278,0.237295292,0.125513585,-0.042014579,-0.023901038,1890
横河電機,1,1.170756166,456479,389901,374206,404432,1.041942139,0.925263085,555968,215628,340340,30668,21267,51644,-28327,-16165,0.078655864,0.038252202,0.062487512,0.701301154,0.387842466,0.132454136,-0.072651776,-0.041459242,23317
新電元工業,0,1.095900963,101007,92168,80437,92965,1.145840844,0.865239606,135041,77812,57229,5562,5902,8290,-7907,1273,0.060346324,0.043705245,0.103129532,0.682518642,0.576210188,0.089944449,-0.085788994,0.013811735,383
アズビル,0,1.08518774,278406,256551,246821,259411,1.039421281,0.951466977,280052,76910,203141,28231,20784,10120,-3990,-20584,0.110040499,0.074214789,0.102313172,0.916083442,0.274627569,0.039446348,-0.015552463,-0.08023356,6130
日本光電,0,1.007185722,206603,205129,199727,185007,1.027046919,1.079564557,210201,53820,156381,30992,23435,25699,-4303,-7300,0.151085415,0.111488528,0.149858359,0.975870714,0.256040647,0.12528214,-0.020977044,-0.035587362,21396
チノー,0,1.086041629,23793,21908,21080,20582,1.039278937,1.024195899,31545,11394,20150,1499,1050,1880,-578,-978,0.068422494,0.033285782,0.052109181,0.694499921,0.361198288,0.085813401,-0.026383056,-0.044641227,1302
アドバンテスト,1,1.343702702,560191,416901,312789,275894,1.33285058,1.133728896,494696,200075,294621,114734,87301,78889,-46907,-68736,0.275206824,0.176474037,0.296316284,0.842741805,0.404440303,0.189227179,-0.112513522,-0.164873675,31982
エスペック,1,1.263786677,52892,41852,38668,42443,1.082341988,0.911057183,61922,16330,45592,1968,1905,2018,-932,-2830,0.047022842,0.03076451,0.041783646,0.675882562,0.263718872,0.048217528,-0.022268948,-0.06761923,1086
キーエンス,1,1.221469489,922422,755174,538134,551843,1.403319619,0.975157789,2324037,150453,2173583,418045,303360,271476,-11134,-49817,0.553574408,0.130531485,0.139566789,0.32494061,0.064737782,0.359488012,-0.014743622,-0.065967578,260342
シスメックス,1,1.128434768,410502,363780,305073,301980,1.192435909,1.0102424,483707,134654,349053,67416,44093,58739,-35052,-20542,0.185320798,0.091156423,0.126321791,0.75206685,0.278379267,0.16146847,-0.09635494,-0.056468195,23687
メガチップス,0,0.939752312,70722,75256,83814,65764,0.897892953,1.274466273,89842,22413,67428,7030,27544,-195,20018,-16534,0.093414479,0.306582667,0.408494987,0.837648316,0.249471294,-0.002591156,0.265998724,-0.219703412,19823
ＩＭＡＧＩＣＡ　ＧＲＯＵＰ,1,1.174136985,94147,80184,86727,94090,0.924556367,0.921745138,73384,39358,34025,3417,2729,7414,-3928,-4183,0.042614487,0.037187943,0.080205731,1.092663251,0.536329445,0.092462337,-0.048987329,-0.052167515,3486
デンソー,1,1.160603041,6401320,5515512,4936725,5153476,1.117241086,0.957940815,7432271,2942745,4489526,341179,263901,395637,-301579,-159536,0.061858083,0.035507451,0.058781484,0.742103188,0.395941563,0.071731691,-0.054678333,-0.028924967,94058
イリソ電子工業,1,1.206096254,52903,43863,36520,39614,1.201067908,0.921896299,73153,11376,61776,4520,3913,6691,-6248,-1611,0.103048127,0.053490629,0.063341751,0.599606305,0.155509685,0.152543146,-0.142443517,-0.036727994,443
スタンレー電気,1,1.144366519,437790,382561,359710,391622,1.063526174,0.91851326,585382,96420,488962,27743,21445,36881,-20257,-13485,0.072519154,0.036634198,0.043858214,0.653523682,0.164712957,0.096405541,-0.052951033,-0.035249281,16624
ウシオ電機,1,1.176077301,175025,148821,118558,159009,1.255259029,0.745605595,321096,85893,235202,13068,12606,21628,-5519,-10625,0.087810188,0.039259287,0.053596483,0.463478212,0.267499439,0.145328952,-0.03708482,-0.071394494,16109
